_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
803,CT#803,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,20/8/2012,Thailand,,19.21,98.88,,,Panarawat Rakpol,Worker
804,CT#804,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Sep,10/9/2012,Thailand,,18.9,99.01,,,Sakwicha Kawee,Worker
805,CT#805,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,12/8/2012,Thailand,Ang Khang ,19.91009883,109.6039722,,,Ratinun Keawbia,Worker
806,CT#806,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jul,5/7/2012,Thailand,Maejo University,18.9,99.01,,,,Worker
807,CT#807,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,30/8/2012,Thailand,,18.81,98.95,,,Monton Sridokkum,Worker
808,CT#808,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jul,7/7/2012,Thailand,Ang Kep Nam Huai Cho,18.94,99.06,,,Wipa Kongsumpan,Worker
809,CT#809,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,4/8/2012,Thailand,,18.16,97.93,,,Juthamas,Worker
810,CT#810,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jun,13/6/2012,Thailand,Ang Kep Nam Huai Cho,18.94,99.06,,,Wipharat Wongwang,Worker
811,CT#811,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,5/8/2012,Thailand,Ban Pong Firm,18.92,99.05,,,Tachit Upree,Worker
812,CT#812,MJUMZ,,Melanobombus,Bombus eximius,,Jul,,Thailand,Wat Mae Cho,18.94,99.06,,,Worawich Suksri,Worker
813,CT#813,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jul,26/7/2012,Thailand,Ban Mae kad noi ,18.88,99.04,,,Rungarun Ploynoi,Worker
814,CT#814,KKIC,,Orientalibombus,Bombus haemorrhoidalis,1992.0,Oct,19/10/1992,Thailand,Kamphaeng Saen,,,,,,Worker
815,CT#815,KKIC,,Orientalibombus,Bombus haemorrhoidalis,1996.0,Feb,13/2/1996,Thailand,Kanchanaburi,,,,,Sombun Sinsangsong,Worker
816,CT#816,KKIC,,Orientalibombus,Bombus haemorrhoidalis,2000.0,May,11/5/2000,Thailand,Kamphaeng Saen,,,,,Theerawadee Chanchamni,Worker
817,CT#817,CUNHM,BSRU-AA-6669,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
818,CT#818,CUNHM,BSRU-AA-6670,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
819,CT#819,CUNHM,BSRU-AA-6671,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
820,CT#820,CUNHM,BSRU-AA-6672,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
821,CT#821,CUNHM,BSRU-AA-6673,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
822,CT#822,CUNHM,BSRU-AA-6674,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Worker
823,CT#823,CUNHM,BSRU-AA-6675,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
824,CT#824,CUNHM,BSRU-AA-6676,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Worker
825,CT#825,CUNHM,BSRU-AA-6677,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
826,CT#826,CUNHM,BSRU-AA-6678,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
827,CT#827,CUNHM,BSRU-AA-6679,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
828,CT#828,CUNHM,BSRU-AA-6680,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
829,CT#829,CUNHM,BSRU-AA-6681,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
830,CT#830,CUNHM,BSRU-AA-6682,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
